"domanda","categoria"
"conoscente percorso trekking sul lago di como segnalato nel Venerdì di Repubblica del 13-7-12?",4
"Informazioni sul trekking nel kilimangiaro?",4
"il trekking è molto faticoso??? può essere praticato da tutti?",3
"collegamenti per matera??",3
"Domande sul trekking?",3
"matera e dintorni?",3
"perché non vedo i canali svizzeri a milano ?",3
"cosa vedere a milano?",3
"parchi belli da vedere a milano....?",4
"come si vede la partita dalla tribuna ovest superiore al san nicola di bari?",3
"visita a bari!!??? piccolo aiuto?",4
"cosa vedere a bari in un giorno?",4
"autobus bari sarajevo?",3
"cosa si può vedere in 1 giorni a milano??",4
"Posti belli a milano ?",4
"fumetterie a milano?",1
"cose da fare assolutamente a milano?",4
"posti carini da vedere in 5 giorni a milano;?",4
"Posti da vedere assolutamente a milano?",4
"è possibile vedere a milano?",4
"Cosa mi consigliate di vedere a milano?!?",4
"Posti da vedere assolutamente a milano!?",4
"cosa vedere a milano?",4
"Che cosa mi consigliate di andare a vedere a milano?",4
"cosa si puo andare a vedere a milano?",4
"cose da vedere a milano?",4
"trekking a brescia?",4
"punti vendita abbigliamento siviglia a gravina e/o matera?",1
"È possibile vedere internamente un aereo a Bari?",3
"3 giorni a Milano, cosa fare?",4
"scuola professionale nail art a milano?",1
"Chi conosce un pub milanista per vedere il derby a milano?",1
"URGENTE!!!!!negozio denny rose matera?",1
"dove comprare un plaid in pail a Bari?",1
"Ristorantino a matera romantico?",1
"cosa visitare a matera CITTà DEI SASSI?",3
"come visitare i sassi di matera",4
"tour delle caverne di matera?",4
"Informazioni sulla città di matera?",3
"specialità alimentari di policoro/matera?",3
"curiosità sui sassi di matera?",3
"per chi conosce matera...?",3
"help dialetto matera!!!?",3
"Treno per matera 10 punti?",3
"chi di voi è di matera (o dintorni)?",3
"differenze tra il pane di altamura e quello di matera.?",3
"battiti live 2008 matera?",3
"scarpe byblos a matera?",1
"Un negozio dove vendo le kawasaki scarpe a gioia o matera?",1
"chi di voi ha visitato i sassi di matera?",3
"chi è di matera?",3
"negozi munich a matera?",1
"chi è di matera??????????????",3
"itinerari a matera??",4
"qualcuno mi potrebbe descrivere la piantina di Santeramo in Colle?",3
"Tour della Transilvania in 3 giorni! Aiuto!?",4
"cosa mi consigliate di fare per pasquetta in puglia??????",3
"come fare per visitare la Basilica di S. Pietro e Castel S. Angelo?",4
"Cosa visitare in un giorno a Napoli considerando che arriverò in treno ?",4
"visita a cinecità roma?",4
"giro turistico a roma!?",4
"notte bianca a roma.?",4
"Tre giorni a Torino: consigli su dove mangiare e luoghi da visitare?",4
"castelli romani come arrivarci?",4
"Itinerario  di un giorni per Roma.....?",4
"Cosa visitare a Roma in soli tre giorni?",4
"TOUR ROMA: cosa mi consigliate come programma?",4
"Cosa fare a Roma di particolare da turista?",4
"Tour della Sicilia 15 gg ad agosto: dove andare?",4
"Qualcuno sarà nel tour viaggi di gruppo in pullman negli Stati Uniti?",4
"Viaggio a Roma?",4
"Week-end a Roma: Cosa mi consigliate di vedere?",4
"Week-end a Roma... cosa posso vedere?",4
"tour di roma aiutooo?",4
"Week end Roma?",4
"Due giorni a Roma!! Piccolo itinerario!!?",4
"come posso fare per visitare cinecittà a roma?",4
"Consiglio vacanze tour in Italia?",4
"Tour di Roma in 24h.. Heeelp?",4
"Roma da visitare in 1 giorno?",4
"Weekend-regalo di compleanno a Roma, dove andare? cosa visitare?",4
"bus roma pompei per tour giornaliero?",4
"Week a Roma Aprile 09: cosa visitare? Come spostarmi?",4
"qualche consiglio per saltare le file e vedere più cose possibili a Roma in 3 giorni?",4
"Tour di Roma...chi di voi mi fa da guida?",4
"Avendo a disposizione 5giorni, che tour mi consigliereste per visitare roma?",4
"Monumenti da visitare  Roma...?",4
"Tour di Roma a Dicembre..?",4
"Mi suggerite un itinerario a Roma?",4
"Basilica di San Pietro!!?",4
"da parigi per la basilica di saint denis e fontainebleau?",4
"Roma musei vaticani, basilica di san pietro e cappella sistina?",4
"attrazioni barcellona ?e card barcellona ?",4
"come si fa x entrare alla basilica di san pietro?",4
"VENEZIA: dove andare questo fine settimana?",4
"SITO DOVE POTER COMPRARE BIGLIETTI BASILICA DI SAN PIETRO-VATICANO?",4
"borghi medievali toscani?",4
"consiglio abitare nel centro storico di vicenza borgo berga?",3
"è possibile fare i pendolari da Piacenza( centro storico) a Parma (zona borgo carissimi) in treno?",3
"mi sapete consigliare qualche borgo molto carino nella campagna toscana?",4
"siete mai venuti a gravina in puglia (ba) ?",3
"Cerco Centro SPA / beauty farm : Puglia o Basilicata!!!?",1
"Vacanze in Puglia con bimba di 4 anni, in villaggio, che mi consigliate?",3
"Conoscete il campeggio Sunbay (Taranto) in Puglia?",3
"Si possono visitare i Giardini Vaticani senza tour guidato obbligatorio?",4
"TOUR ROMA MILANO mi date un Aiuto?",4
"Tour di Roma in 4 giorni?",4
"Tour di Roma in 1 giorno!!!?",4
"Visitare Roma e musei?",4
"Cosa visitare a Roma in un pomeriggio con due bambini piccoli?",4
"Mi potreste dire cosa visitare principalmente a Roma?",4
"Roma in 1 giorno: come spostarsi?",3
"Informazioni su Ostia: mare, spiaggia e diverimenti!?",3
"Roma romantica...posti più belli.?",3
"Aiuto per un Tour nel lazio?",4
"Egitto, visite archeologiche da Sharm??",4
"perchè i trulli esistono solo in puglia?",3
"ciao ragazzi mi potreste aiutare con delle infomazioni sopratutto per chi vive a roma?",3
"Bed and Breakfast a Villa Adriana(Roma)?",1
"ACCABADORA aiuto! chi lo ha letto?",3
"parco archeologico, vi prego è urgente?",4
"Quali beni culturali e ambientali si possono visitare gratis in Campania? ?",4
"Ma gli indipendentisti in Sardegna ci sono o ci fanno?",3
"Mi date consigli sui posti dove poter fare un week end in agosto?",4
"quali musei o luoghi di interesse posso visitare a Napoli?",4
"Abitanti di Matera e/o dintorni?",3
"Alcune domande su legislazione dei beni culturali e ambientali chi mi aiuta?",3
"Chi è mai stato a Matera? Potete descrivermela?",3
"Visita turistica in zona Palermo?",4
"Qual è la stazione più vicina a matera??? Basicata....?",3
"Visite guidate acquario genova?",4
"negozi a matera di boxe?",1
"Santuario Madonna della Civita?",4
"chi è che conosce stigliano in provincia di matera?",3
"come si arriva a matera?? da milano?",3
"chi mi sa dire quanti negozi di cornici ci sono a matera? sono efficienti?",3
"quando iniziano le scuole superiori a matera???",3
"Suggerimenti meta turistica?",4
"Festa di San Gennaro a Napoli!?!!?",4
"Quali sono i siti storici migliore da vedere in Sardegna del nord?",4
"conservatorio matera?",3
"Ciao qualcuno di voi sa dirmi quando ci sarà la benedizione delle penne al Santuario di S.Gabriele?",3
"chi ha mai visto i sassi di matera?",3
"definizione sassi di matera e trulli. urgente grazie! :)?",3
"Cerco disperatamente insegnante privato di pianoforte a matera?",2
"Situazione storica -1850 IN SICILIA?",4
"paesi caratteristici e storici nel milanese?",4
"quale scuola di danza esegue corsi di ginnastica artistica a matera?",1
"dove posso fare i rasta a matera?",1
"Borghi e paesini..?",4
"informazioni sul borgo di Milazzo?(sicilia)?",4
"Quali sono i luoghi più caratteristici che rendono belle le Marche?",4
"Cosa visitare a Borgo San Dalmazzo?",4
"Città italiane belle da visitare?",4
"Mare toscano, turismo a dicembre. dove?",4
"mare ligure, turismo a dicembre. dove?",4
"vacanze Gallipoli...borgo nuovo o centro storico ?",4
"scoprire le origini di una vecchissima casa di un borgo di montagna-catasto storico?",4
"come si arriva a matera in treno?",3
"lista dei borghi di firenze?",4
"aiuto persone di matera !!!!!!! 10 pnt?",3
"Posti belli puglia gargano e non!!!!?",4
"vorrei fare un viaggio in Puglia ma non so dove?",4
"sassi di matera suggerimenti?",3
"Si può fare il bagno a maggio in Puglia?",4
"Chi conosce matera? Ci siete mai stati?",3
"Cosa vedere in puglia?",4
"A settembre partiremo per un Puglia Tour in camper; avete dei consigli sulle località da visitare? ",4
"Vacanze in puglia......?",4
"cosa visitare nei dintorni di barletta?",4
"quanto dista matera da bolzano?",3
"sapete se ci sono treni per partire da matera?",3
"qlcuno conosce un bel posto in puglia cilento e zone limitrofe?",4
"sassi di matera chi mi indica?",3
"Monumenti medievale in puglia, chi mi da qualche idea?",4
"informazioni castello di Lucera?",4
"cosa mi consigliate da vedere o visitare in puglia?",4
"Cosa vedere in puglia?",4
"scarpe fornarina a matera!??",1
"ristoranti buoni a matera?",1
"in quali altri paesi, come in Italia, si parlano così tanti dialetti che sono vere e proprie lingue?",3
"Benche essendo tutti Italiani, abbiamo tutti un dialetto....???",3
"La regione Puglia, così come la Sicilia, in passato è stata conquistata e dominata dai normanni?",3
"mi aiutate??? Ricerca su Vieste (puglia) ?",3
"i dialetti italiani sono destinati ad estinguersi???????",3
"Dove dormire in Valle d’Itria?",3
"puglia vacanze?",4
"Puglia ...ki mi consiglia????",4
"Vacanze in Puglia: consigli?",4
"puglia vacanze!!! =) entrateee!!?",4
"SOLUZIONE IN PUGLIA A FINE AGOSTO. Bel mare e con possibilità di spostarsi.?",4
"Chi mi consiglia un Itinerario per la Puglia?",4
"Quanto dista la località Correggio dalla zona Trulli?",3
"paese più adatto per vacanza in puglia con dei bambini piccoli?",4
"la puglia..terra da scoprire..consigli?",4
"Posti belli della Puglia?",4
"Chi di voi conosce bene la Puglia?",3
"devo fare un viaggio in puglia?",4
"I posti più belli della Puglia?",4
"puglia: gargano o salento?",4
"Quali città o zone della puglia conoscete?",3
"Avete un villaggio da consigliarmi in Puglia..?",4
"possibile percorso fra i castelli federiciani?",4
"estate in puglia: consigli?",4
"vacanze in puglia?",4
"vgfacanze in puglia?",4
"AIUTO!!! una meta storico-artistica di carattere romano in puglia?",4
"Siete mai stati in Puglia?",4
"domani sarò ad alberobello...cosa mi consigliate di visitare?",3
"salve,vorrei fare il capodanno in puglia,dove mi consigliate di andare?",4
"Puglia zona manfredonia?",4
"Mi trovate delle mappe sui castelli di federico II di Svevia...in Puglia?",4
"luoghi per rilassarsi come ad esempio giardini zen?",3
"i castelli + belli d italia?",4
"Insegnante privato di pianoforte a matera?",2
"Posti da visitare in puglia...?",4
"castelli, monumenti epoca medievale?",4
"cenare in un castello pugliese?",1
"dove posso comprare finger bmx a matera?",1
"c'è qualcuno della provincia di matera?",3
"come si dice nel vostro dialetto ""domani andiamo a roma""?",3
"i vostri dialetti?",3
"Come si dice ""Bentornati"" in dialetto salentino?",3
"Dialetto salentino-Brindisi. Aiuto?",3
"ragazzi della puglia mi dite la differenza tra il dialetto di barletta e quello di bari?",3
"storia del dialetto in provincia di taranto?",3
"Differenza nel parlare in dialetto?",3
"Da dove nascono i dialetti?",3
"perché in puglia ci sono mille dialetti?",3
"qual è il dialetto più bello della Puglia?",3
"raga dialetto pugliese...!help?",3
"qualcuno che conosce bene la puglia???",3
"Mi dite una città bella della Puglia da visitare in un giorno in questo periodo?",4
"Ai ragazzi e ragazze di martina franca?",3
"Qualcuno è mai stato a Martina Franca?",3
"Posti belli puglia gargano e non!!!!?",4
"Consigli per una vacanza?",4
"Cerco Centro SPA / beauty farm : Puglia o Basilicata!!!?",4
"Monumenti medievale in puglia, chi mi da qualche idea?",4
"Per chi conosce il paese Martina Franca (Taranto)?",3
"paese più adatto per vacanza in puglia con dei bambini piccoli?",4
"SOLUZIONE IN PUGLIA A FINE AGOSTO. Bel mare e con possibilità di spostarsi.?",4
"5 giorni in Puglia... Cosa visitare? 10 punti al migliore?",4
"A settembre partiremo per un Puglia Tour in camper; avete dei consigli sulle località da visitare? ",4
"cosa mi consigliate da vedere o visitare in puglia?",4
"AIUTO!!! una meta storico-artistica di carattere romano in puglia?",4
"puglia vacanze?",4
"Vacanze in puglia......?",4
"Gita in barca lungo la Puglia, da S Maria di Leuca fino alle tremiti : cosa vedere?",4
"Com è Gravina di Puglia?",4
"puglia: gargano o salento?",4
"I posti più belli della Puglia?",4
"Tour in Puglia con gruppo in autobus?",4
"Avete un villaggio da consigliarmi in Puglia..?",4
"Posti belli della Puglia?",4
"Organizzare un viaggio per la Puglia?",4
"viaggio toscana-puglia?",4
"devo fare un viaggio in puglia?",4
"vacanza in puglia,luoghi da visitare?",4
"karaoke il venerdì a Martina Franca?",3
"cosa ne pensate della Puglia??entrate?",4
"Gli abitanti di martina franca dove vanno al mare?",3
"Per gli abitanti di Martina Franca: ?",3
"Pullman martina franca-gioia del colle!urgenteeeee?",3
"Per chi conosce il paese Martina Franca (Taranto)?",3
"Chi sa dirmi le chiese o le cattedrali romaniche che si trovano in puglia?",4
"quali sn le cattedrali romaniche in italia?",4
"Quali chiese/cattedrali scegliere?",4
"cosa visitare in puglia in gita di 4 giorni??",4
"estate in puglia: consigli?",4
"Posti da visitare in puglia...?",4
"tour della puglia ??",4
"Esiste una scuola di doppiaggio a taranto?",1
"Come si dice nel vostro dialetto ""qua"" e ""là""?",3
"mi scrivete frase del vostro dialetto?",3
"Ragazzi nel vostro dialetto come si dicono queste frasi?",3
"Come si dice nel vostro dialetto ""ANDATO""?",3
"come è la puglia????????????",3
"Mi sapete dire cosa significa AFAFEGNETO?",3
"questione sui dialetti.....................?",3
"Afragola villa comunale?",4
"urgente cerco bus bari - martina franca?",3
"Villa comunale In via colli aminei a Napoli?????",4
"In che via di Qualiano, a Napoli, si trova la villa comunale?",4
"notizie su chieti è urgente risp?",4
"chi di voi è mai stato a martina franca?",3
"Scuola a Martina Franca (Ta)...",3
"Villa comunale Casoria?",4
"dove si trova la villa comunale a napoli?",4
"qualcuno conosce Martina Franca?",3
"qualcuno sa dove si trova la villa comunale di pianura (o parco dei pompieri), perfavore?",4
"Chi di voi è di Martina Franca?",3
"Quanto costa sposarsi alla villa comunale di Frosinone?",3
"Giudizio sulla Villa Comunale di Vietri sul Mare...?",3
"come arrivare alla villa comunale di san severino in autobus?",3
"domanda per chi è di napoli, la villa comunale domani pomeriggio è chiusa?",3
"qualcuno sa dove posso trovare una sbarra per trazioni in un luogo pubblico  a napoli?",3
"a che ora chiude VILLA TORLONIA ?",3
"Posso stare con una tenda da campeggio nella villa comunale a napoli?",3
"Chi mi sa dire quanti metri dista la Fontana del Gigante fino alla Villa Comunale...?",3
"solo per gli utenti di martina franca e dintorni....?",3
"Dove passare il Capodanno tra Martina Franca e Cisternino?",3
"cosa ne pensate di martina franca?",3
"informazioni su martina franca e taranto?",3
"Dove andare a Martina Franca?",3
"cosa ne pensate di martina franca?",3
"ciao a tutti,mi sapete dire quali paesi bisogna attraversare da martina franca a bari?",3
"Martina Franca è prima o dopo Palo?",3
"orari treni martina franca - lecce?",3
"come si vive a Martina franca ?",3
"Chi di voi è pugliese? Ed in particolare quanti di voi?",3
"Bistecche di capocollo..?",3
"come si stagiona un capocollo o coppa?",3
"ammorbidire un capocollo?",3
"Qualcuno sa dirmi in quali ville storiche di Napoli sono presenti anche delle fontane????",3
"quali sono i negozi ke vendono borse etro a martina franca e a bari?",1
"5 giorni in Puglia... Cosa visitare?",4
"cosa vedere in puglia?",4
"Per chi è stato o abita in Puglia?",3
"ricerca basiliche romaniche.  ",4
"domanda su Ostuni (puglia) !!?",3
"Per chi è stato o abita in Puglia?",3
"Si può fare il bagno a maggio in Puglia?",3
"mi consigli dei residence in Puglia?",1
"scuole di danza a martina franca?",1
"quale sono i diversi tipi di dialetti in Italia?",3
"Mi dite questa frase nel vostro dialetto?",3
"Ma il salentino a quale dialetto è più vicino?",3
"ragazzi nella vostra famiglia si parla ancora il dialetto e quale?",3
"SALENTINI CHE PARLANO IL DIALETTO?",3
"estate in puglia: consigli?",3
"Si sente da dove provenite o non avete incrinazioni vocali dovute al dialetto?",3
"esclamazioni nei vari dialetti e slang?",3
"Come è la puglia  ????????????????????????",3
"chi è il dialetto piu cozzo??",3
"Qualche canzone che parla della puglia?",3
"cosa ne pensate della puglia?",3
"Qual è il dialetto più bello e quale quello più brutto?",3
"Perchè in Puglia molti comuni e paesini finiscono con il suffisso ""ano""?",3
"Parlate e dialetti di tutta Italia...?",3
"Come si dice nel dialetto pugliese?",3
"il dialetto pugliese,è da considerarsi una variante del dialetto napoletano?",3
"Dialetto in Piemonte?",3
"Dialetto bergamasco? Aiutatemi!?",3
"che dialetto è la parola cozza riferita ad una ragazza poco carina?di che regione è?",3
"cosa ne pensate della puglia?",3
"Il dialetto abruzzese e quello napoletano - sono simili?",3
"S.O.S. dialetto popolare. Voi lo parlate?",3
"dialetti???",3
"Dialetti italiani?",3
"ragazzi vi e mai capitato di sentire nella vostra citta giovani che parlano in dialetto?",3
"Ti piace parlare il dialetto del tuo posto....che dialetto parli?",3
"Rap in dialetto { pareri, critiche,considerazioni }?",3
"come si dice nel vostro dialetto?",3
"Conoscete delle espressioni nei dialetti della Puglia?",3
"OPINIONI PER DIALETTI?",3
"Quanti dialetti ci sono in Italia?",3
"Quanti dialetti ci sono nella Puglia?",3
"come si dice sardo in dialetto pugliese??",3
"In Puglia cosa visitereste? Quale dialetto pugliese vi piace di più?",4
"Regolamenti Pro-loco ed associazioni turistiche?",3
"devo tagliare i capelli c'è un parrucchiere da uomo?",2
"qualcuno mi consiglia un b&b a Bari?",3
"ma il dialetto di polignano a mare è simile a quello di canosa di puglia?",3
"Suggerimenti per attività Pro Loco?",4
"libro sulle tecniche di giardinaggio?",3
"ho bisogno di un consiglio!!?",3
"Consigli per una prima reflex!?",3
"Qualcuno mi consiglia cosa fare?",3
"fumetterie a bari...?",1
"viaggio a BARI??? qualcuno mi può dire?",4
"consiglio su una mountain bike???????????",3
"Informazioni manutenzione mountain bike?",3
"Ciao qualcuno può aiutarmi magari...?",3
"Consiglio Mountain bike?",3
"Spin Bike Consiglio?!?",3
"domanda sulle bici!! Chi può rispondermi?",3
"insegnanti di danza ho bisogno di un consiglio?",3
"Come mi devo comportare? Ho bisogno di un consiglio estraneo.?",3
"quali sono tutti i tipi di salumi?",3
"prodotti tipici pugliesi?",3
"Mi serve un consiglio.... se siete napoletani ancora meglio??",3
"dove trovare una ginecologa brava?",2
"Sapete dove posso trovare un ginecologo?",2
"è possibile parlare con un ginecologo?",2
"Dove posso trovare un ginecologa?",2
"posso parlare con un ginecologo??",2
"dove posso trovare una ginecologa donna in provincia di caserta?",2
"vorrei fare una visita dal ginecologo...ce ne sono?",2
"Dog sitter, baby sitter? Provincia di Genova?",2
"Dog Sitter Roma!!!!!?",2
"come trovare un dog sitter affidabile?",2
"Come fare a trovare un dog sitter?",2
"Qualcuno di voi conosce qualche dog sitter?",2
"c'è un Dog sitter bravo?",2
"ciao a tutti cerco baby sitter o dog sitter a napoli centro o dintorni!?",2
"Cerco babysitter, dog sitter a BOLOGNA!?",2
"come posso trovare un  dog-sitter?",2
"Cerco Dog Sitter?",2
"mi potete aiutare dove trovare un dog sitter???? ",2
